epoch_h,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,hyper_param,hp_update
43,1.1880143880844116,0.48,4.051113128662109,0.08,3.9683053493499756,0.2,"tensor([-5.6684, -1.9235, -5.5934,  ..., -3.1733, -4.1254, -2.7889],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
44,1.2094838619232178,0.52,4.279675483703613,0.06,4.145007133483887,0.2,"tensor([-5.6895, -1.8927, -5.6110,  ..., -3.1453, -4.1520, -2.8075],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
45,1.1290992498397827,0.6,4.428643703460693,0.1,4.336719989776611,0.2,"tensor([-5.7061, -1.8684, -5.6254,  ..., -3.1082, -4.1770, -2.8279],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
46,1.1537044048309326,0.46,4.480676174163818,0.04,4.170416831970215,0.22,"tensor([-5.7142, -1.8549, -5.6357,  ..., -3.0915, -4.1866, -2.8479],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
47,1.0141173601150513,0.54,4.344675540924072,0.04,4.1037187576293945,0.22,"tensor([-5.7320, -1.8285, -5.6516,  ..., -3.0645, -4.2096, -2.8643],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
48,0.9257065057754517,0.58,4.449998378753662,0.08,4.05958890914917,0.24,"tensor([-5.7502, -1.7987, -5.6702,  ..., -3.0359, -4.2376, -2.8835],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
49,0.9714661240577698,0.48,4.725948333740234,0.08,4.442974090576172,0.18,"tensor([-5.7777, -1.7583, -5.6943,  ..., -3.0074, -4.2480, -2.9087],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
50,0.9218904972076416,0.64,4.363658428192139,0.14,4.080981254577637,0.16,"tensor([-5.8001, -1.7238, -5.7150,  ..., -2.9874, -4.2624, -2.9314],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
51,0.8171904683113098,0.8,4.222398281097412,0.1,3.8068883419036865,0.24,"tensor([-5.8221, -1.6895, -5.7344,  ..., -2.9681, -4.2814, -2.9521],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
52,0.762656033039093,0.7,4.617699146270752,0.12,4.144449710845947,0.16,"tensor([-5.8485, -1.6507, -5.7568,  ..., -2.9334, -4.3054, -2.9742],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
53,0.6489483714103699,0.8,4.873434543609619,0.12,4.213620185852051,0.14,"tensor([-5.8644, -1.6265, -5.7740,  ..., -2.9199, -4.3140, -2.9950],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
54,0.6982264518737793,0.68,5.210761070251465,0.12,4.512322902679443,0.16,"tensor([-5.8902, -1.5866, -5.7988,  ..., -2.9124, -4.3313, -3.0175],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
55,0.6346538066864014,0.78,5.072815418243408,0.2,4.271926403045654,0.16,"tensor([-5.9106, -1.5532, -5.8197,  ..., -2.8933, -4.3504, -3.0348],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
56,0.7967788577079773,0.72,5.020086288452148,0.14,4.07389497756958,0.2,"tensor([-5.9037, -1.5591, -5.8250,  ..., -2.8866, -4.3630, -3.0470],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
57,0.6357060074806213,0.74,5.1857709884643555,0.1,4.428961277008057,0.16,"tensor([-5.9186, -1.5333, -5.8412,  ..., -2.8689, -4.3925, -3.0653],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
58,0.6964787840843201,0.72,5.226192474365234,0.1,4.703873634338379,0.12,"tensor([-5.9320, -1.5144, -5.8525,  ..., -2.8433, -4.3898, -3.0875],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
59,0.6918904781341553,0.72,5.166784286499023,0.12,4.569686412811279,0.16,"tensor([-5.9585, -1.4728, -5.8744,  ..., -2.8043, -4.4116, -3.1061],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
60,0.6030824780464172,0.74,4.946084022521973,0.14,4.201037406921387,0.16,"tensor([-5.9673, -1.4537, -5.8890,  ..., -2.8036, -4.4337, -3.1214],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
61,0.6922388672828674,0.76,4.768777370452881,0.1,4.041835784912109,0.14,"tensor([-5.9612, -1.4606, -5.8902,  ..., -2.8170, -4.4326, -3.1333],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
